ID,Role,Region,Industry,Date,Salary_USD,Skills,Demand_Score,Supply_Score,Gap,Job_Postings
c5b1d5f4-35e3-462c-aaf2-76207ce5914c,Business Analyst,Midwest,Tech,2024-08-01,82701,"Docker, Leadership, Python, React, Machine Learning",71,58,13,6
6095112b-2961-4446-95f5-e75b0ce82582,DevOps Engineer,South,Finance,2024-06-11,104637,"Node.js, SQL, Python, Leadership, Communication, Excel",43,37,6,28
7bde0b14-bd29-4648-92c6-2d7e7d6455cf,Data Analyst,Northeast,Finance,2025-03-19,77547,"Azure, Excel, Leadership",92,31,61,40
7c5d7c2a-1a87-4b5b-a7b3-bb863cafe294,Cloud Architect,South,Finance,2025-01-24,150526,"Kubernetes, Excel, React, Azure, AWS",48,75,-27,46
b9c3700e-cd3a-41d8-b5b6-96df109d64f7,Cloud Architect,Midwest,Finance,2024-01-04,132316,"Docker, Leadership, Azure, React, SQL",94,46,48,14
aef6b147-547d-46b2-aac0-5e03b1da555d,Data Engineer,Midwest,Retail,2020-06-28,102095,"Excel, SQL, Spark",47,44,3,9
14106133-f615-4e8f-b3d3-473c719b3797,DevOps Engineer,South,Healthcare,2022-07-29,135159,"Deep Learning, GCP, React",77,94,-17,31
6e1b5629-782c-40b6-bc25-4c380869d8c3,Product Manager,Midwest,Finance,2024-09-30,126376,"Excel, AWS, Node.js, Docker",60,55,5,7
e96cae70-913f-45d1-9d80-5f689c540a66,DevOps Engineer,Northeast,Tech,2023-05-01,147682,"Docker, Tableau, Azure, Leadership, Deep Learning",60,87,-27,45
d7cf810f-2e31-4206-bf7b-60ecc99ecb00,HR Manager,Northeast,Retail,2025-08-07,89211,"SQL, AWS, Machine Learning",87,78,9,44
dd833ae3-597f-4619-8b01-4d78caa5b863,Business Analyst,Northeast,Finance,2020-12-14,79612,"Communication, Python, AWS",80,36,44,38
18ee9048-e26d-44fa-afbc-dec7583465d0,Data Scientist,South,Manufacturing,2025-01-13,123593,"Excel, Python, Docker, React, GCP",88,34,54,24
069ae1e6-0bec-451c-b3b9-0390ec86526a,Data Engineer,West,Manufacturing,2024-06-18,143326,"Excel, Deep Learning, SQL, Communication, Kubernetes",63,32,31,17
1ef3ca5a-7cd0-46f2-accf-b08bf859ef51,Data Analyst,West,Finance,2020-01-11,82559,"Python, Communication, React, Node.js, Azure, Excel",84,54,30,27
0ef72be0-7ed9-4dfe-b01b-0063399cc29c,Data Engineer,Midwest,Healthcare,2023-03-19,113601,"Machine Learning, Excel, AWS, Docker, Azure",55,74,-19,32
3b193caf-36be-43f4-a110-cb8767df2693,Data Analyst,West,Healthcare,2022-06-22,93539,"Azure, Node.js, Spark, Docker",92,55,37,8
a6fcbb92-a42c-4dc9-a732-b1ccae98ef23,HR Manager,West,Manufacturing,2023-04-15,107704,"Azure, Node.js, Spark",76,88,-12,31
a63580bd-280f-439c-b3db-25d7642891c0,Data Analyst,Northeast,Tech,2024-07-31,81308,"Machine Learning, GCP, Leadership, Python, React",74,95,-21,12
be6d2ad9-8076-4b85-99e7-418a32f97e75,DevOps Engineer,West,Retail,2023-07-03,139180,"GCP, Python, Kubernetes, AWS, Tableau",55,79,-24,34
535c1a10-7388-43fd-a3ee-6628adc85c42,Machine Learning Engineer,South,Manufacturing,2024-09-18,166050,"AWS, Azure, Docker, React, Communication",92,50,42,25
fcc3b284-65b9-4359-972b-0cb2cf238fb9,Software Engineer,West,Retail,2023-02-12,170076,"Deep Learning, Python, Tableau, Excel, Spark, Docker",53,53,0,32
0062b4ca-25f6-44c5-8b21-640c46ac59e0,HR Manager,Northeast,Tech,2024-12-08,87938,"Azure, Leadership, Docker",85,32,53,20
c69f2418-d444-4c31-a85d-20ad112c9c27,Cloud Architect,Northeast,Tech,2025-05-15,157266,"React, Python, Communication, GCP, SQL",91,39,52,5
4ba74d76-eeb2-4609-8a14-4cbcf38b55ac,Data Scientist,South,Manufacturing,2024-01-10,150776,"GCP, SQL, Kubernetes, Docker",48,85,-37,24
04cee1c6-cb57-40cf-95c2-2a8158b45c9f,Machine Learning Engineer,Northeast,Tech,2021-09-05,135898,"Python, Leadership, Machine Learning",89,80,9,42
edcdf23a-36db-471b-8642-d2032c4faa1b,Data Analyst,Northeast,Healthcare,2023-06-13,82353,"Excel, SQL, Machine Learning, Spark, Node.js",50,79,-29,50
