Month,Business Analyst,Cloud Architect,Data Analyst,Data Engineer,Data Scientist,DevOps Engineer,HR Manager,Machine Learning Engineer,Product Manager,Software Engineer,Total
2020-01,0,113,73,37,84,7,87,46,21,54,522
2020-02,161,49,0,17,107,13,63,58,16,63,547
2020-03,53,81,126,50,25,0,52,31,163,29,610
2020-04,43,83,28,19,96,25,162,6,104,77,643
2020-05,37,103,5,0,46,45,43,83,25,60,447
2020-06,38,57,91,84,0,0,5,72,75,43,465
2020-07,53,146,15,102,47,73,130,23,101,5,695
2020-08,64,15,66,90,50,99,175,0,72,58,689
2020-09,6,78,51,66,14,80,0,45,167,76,583
2020-10,0,57,0,29,100,73,25,0,0,143,427
2020-11,42,14,67,144,85,44,66,39,0,133,634
2020-12,9,28,62,41,15,35,57,112,66,43,468
2021-01,113,55,136,79,60,73,0,41,180,85,822
2021-02,126,18,35,141,34,0,40,93,68,94,649
2021-03,61,23,8,49,90,29,19,0,13,29,321
2021-04,7,169,50,0,26,48,0,71,42,0,413
2021-05,102,60,77,25,34,72,94,0,34,21,519
2021-06,0,95,28,164,103,108,25,15,12,45,595
2021-07,15,102,95,12,44,66,112,34,24,33,537
2021-08,8,28,46,77,10,0,75,33,88,28,393
2021-09,0,26,124,22,95,47,0,61,67,45,487
2021-10,52,106,94,0,44,0,32,77,0,58,463
2021-11,74,163,62,103,29,98,141,81,66,75,892
2021-12,0,58,115,49,90,36,12,138,0,0,498
2022-01,42,229,58,68,57,134,11,53,45,103,800
2022-02,69,128,0,48,29,0,72,7,87,77,517
2022-03,0,13,23,169,57,56,123,81,0,68,590
2022-04,41,32,31,127,73,84,103,143,49,58,741
2022-05,22,148,82,18,107,182,92,46,72,21,790
2022-06,29,0,98,89,0,0,122,63,43,61,505
2022-07,5,81,7,123,40,157,102,38,66,5,624
2022-08,52,10,0,69,0,126,33,113,0,43,446
2022-09,54,87,39,21,77,31,55,0,85,79,528
2022-10,32,47,144,119,64,128,110,29,106,28,807
2022-11,77,74,72,49,64,118,44,0,58,32,588
2022-12,47,59,177,70,0,0,71,107,57,15,603
2023-01,58,30,0,31,50,24,44,141,19,65,462
2023-02,51,60,20,0,22,89,0,81,79,54,456
2023-03,50,44,36,42,10,67,53,59,44,129,534
2023-04,0,11,0,144,29,32,110,7,119,73,525
2023-05,26,54,10,19,27,9,22,52,30,43,292
2023-06,56,56,42,49,40,103,135,31,0,26,538
2023-07,0,85,99,0,86,44,83,98,8,96,599
2023-08,33,0,74,100,33,59,0,12,26,94,431
2023-09,72,89,22,126,45,42,130,28,76,51,681
2023-10,53,92,100,96,41,124,38,32,31,29,636
2023-11,0,89,57,61,57,55,70,31,58,142,620
2023-12,70,28,98,57,61,121,81,92,6,282,896
2024-01,47,0,88,12,83,44,29,23,100,0,426
2024-02,72,90,15,28,100,50,14,113,69,45,596
2024-03,67,9,17,63,49,115,81,27,27,27,482
2024-04,22,79,14,24,25,71,138,48,150,0,571
2024-05,115,102,50,20,92,52,132,113,48,30,754
2024-06,31,0,10,88,95,0,68,44,101,12,449
2024-07,22,107,65,48,123,152,0,0,125,94,736
2024-08,64,26,92,38,46,36,137,0,147,25,611
2024-09,84,94,55,76,43,86,38,0,100,91,667
2024-10,22,105,49,59,46,0,65,143,51,55,595
2024-11,0,104,62,22,69,94,24,67,17,150,609
2024-12,33,81,71,72,25,18,148,117,44,0,609
2025-01,36,0,49,0,204,20,57,46,0,68,480
2025-02,51,96,19,55,47,28,10,0,33,69,408
2025-03,34,66,49,55,14,29,73,59,97,0,476
2025-04,31,43,35,76,26,42,30,35,70,84,472
2025-05,94,102,9,39,25,45,37,55,18,0,424
2025-06,63,36,24,78,69,83,48,43,40,72,556
2025-07,29,143,21,114,68,76,54,77,150,10,742
2025-08,0,20,5,89,43,37,20,87,12,73,386
2025-09,105,54,0,48,38,31,0,29,0,135,440
2025-10,31,76,26,95,42,94,79,12,84,51,590
2025-11,99,116,25,26,90,48,86,34,21,37,582
2025-12,35,149,89,36,72,0,90,48,0,76,595
