Role,Region,Min_Salary,Q1_Salary,Median_Salary,Q3_Salary,Max_Salary,Average_Salary,Sample_Count
Business Analyst,Midwest,65059,70549,76620,82384,88953,76625,29
Business Analyst,Northeast,78121,86514,92898,98643,104388,92003,36
Business Analyst,South,68246,73115,77307,86838,94272,79580,45
Business Analyst,West,80880,92396,96064,108528,114977,98124,36
Cloud Architect,Midwest,120398,141085,149207,158757,164716,148114,38
Cloud Architect,Northeast,142291,149535,165691,178398,189927,164484,35
Cloud Architect,South,125035,135307,148132,159022,173933,147916,37
Cloud Architect,West,150789,163606,181125,191725,207508,178544,45
Data Analyst,Midwest,61243,67519,70055,75516,84161,71129,29
Data Analyst,Northeast,70969,75983,87038,93933,99891,85451,32
Data Analyst,South,65170,70402,73244,80189,87709,75181,40
Data Analyst,West,75518,80507,89911,100318,108850,91031,49
Data Engineer,Midwest,102396,113114,123900,130078,139226,122401,33
Data Engineer,Northeast,121036,135255,148056,157309,169739,146060,44
Data Engineer,South,106446,118062,128178,137201,143103,128158,35
Data Engineer,West,130117,150167,157247,166799,185342,159280,30
Data Scientist,Midwest,110767,120175,130697,139162,149846,130033,43
Data Scientist,Northeast,130257,136879,155206,167619,177908,152488,34
Data Scientist,South,115329,122390,141267,150939,157915,137297,40
Data Scientist,West,140414,151549,177819,191836,197671,172305,30
DevOps Engineer,Midwest,95004,105404,115580,121016,128356,112922,38
DevOps Engineer,Northeast,117932,129706,141392,148476,154985,138475,51
DevOps Engineer,South,101188,104816,117127,133452,139556,118449,35
DevOps Engineer,West,121059,127917,141712,152173,169940,141641,41
HR Manager,Midwest,72609,79594,85860,92603,99828,86195,39
HR Manager,Northeast,86408,94543,102176,109919,119311,102588,41
HR Manager,South,77249,81197,87331,100918,104972,90415,21
HR Manager,West,90364,104361,112517,120766,129658,111533,53
Machine Learning Engineer,Midwest,116824,128919,141000,148718,158107,138533,44
Machine Learning Engineer,Northeast,135788,149248,168562,177451,189774,164078,24
Machine Learning Engineer,South,123984,135904,146313,163264,169691,149003,31
Machine Learning Engineer,West,145786,158689,178282,190597,208722,175639,40
Product Manager,Midwest,101512,111275,119019,126100,139507,119364,37
Product Manager,Northeast,122069,136205,145119,157848,168739,145587,42
Product Manager,South,106522,120386,128099,141169,149327,129280,39
Product Manager,West,136238,150386,173267,181780,189040,166258,34
Software Engineer,Midwest,96541,109941,116034,123434,133109,115981,38
Software Engineer,Northeast,111189,121375,133409,146643,159834,135048,41
Software Engineer,South,100749,115250,126747,137724,143592,125078,39
Software Engineer,West,126947,146025,159240,171963,178878,157167,32
